Found 525 materials
  mat_id   num_points        num_obs
     413           29         16,854
     256          625        362,533
     381          643        372,063
     420          660        386,463
     380          708        412,202
     385          848        487,452
      92        1,067        606,494
     387        2,273      1,290,968
     379        2,324      1,327,384
     386        2,717      1,495,948
     421        3,027      1,749,843
     222        3,127      1,831,764
     418        4,078      2,320,330
     419        4,225      2,475,680
     485        4,410      2,575,440
     378        5,142      2,893,781
     384        5,426      2,991,076
     377        7,601      4,198,191
     519        7,836      4,552,612
     376        9,531      5,252,566
     524       15,745      9,083,400
      59       18,567     10,689,068
     415       19,820     11,127,920
      63       21,170     12,266,152
     484       23,050     13,461,200
     516       24,188     14,081,632
      58       24,322     14,133,669
     416       24,655     14,059,616
      90       25,197     14,555,391
     472       28,478     16,631,152
     464       29,898     17,460,432
     383       33,412     18,041,197
     417       35,678     19,545,502
     250       36,069     21,041,278
      66       36,252     21,284,708
     426       37,430     20,679,737
     523       41,066     23,963,080
     463       41,892     24,381,144
     395       55,611     30,497,107
     371       56,397     29,391,717
     528       57,636     33,451,963
      60       58,700     34,054,717
     461       59,441     34,535,221
     465       61,529     35,871,407
     391       62,102     34,402,564
     473       62,338     36,405,392
      57       64,451     37,469,607
      30       64,906     37,530,350
      67       65,970     38,548,649
     388       70,433     39,515,324
     392       73,073     41,150,207
     501       75,017     43,791,952
     354       77,393     41,135,759
     411       77,458     42,632,513
     409       78,085     42,790,816
     374       79,543     45,256,879
     425       80,357     44,976,009
     401       82,225     38,895,385
     526       83,288     48,356,881
     394       83,566     47,115,196
     406       85,248     46,420,386
     405       90,909     49,765,096
     404       95,247     51,316,161
     399       97,616     53,040,397
      50       98,280     57,200,141
     375       98,582     53,394,127
     403      100,743     58,009,482
     408      101,658     56,968,212
     389      102,857     55,964,835
      77      104,832     60,638,125
     517      105,078     60,992,088
     373      105,703     57,317,945
     412      106,483     57,097,426
      64      108,046     63,370,896
     490      110,115     63,866,699
     293      110,335     63,914,361
      87      111,621     64,868,724
     398      115,483     63,767,852
     224      116,148     67,745,317
     502      116,287     67,633,309
     265      118,712     68,499,308
      41      119,484     70,018,133
      88      121,356     70,681,349
     407      121,867     69,576,420
     525      122,308     72,123,858
     529      122,691     71,723,164
      85      126,977     73,625,520
     358      127,412     69,540,081
     397      128,713     72,197,428
     478      129,376     75,943,712
     352      129,548     72,100,589
      69      130,204     76,489,936
     496      132,868     78,126,371
     206      134,051     78,136,876
     302      136,802     80,025,963
     367      138,969     74,242,677
     194      139,919     82,272,372
     382      140,898     75,910,907
      76      143,111     82,910,838
     414      144,651     81,426,150
     369      145,289     80,826,450
     205      145,439     85,215,939
     505      145,671     85,188,532
     462      146,470     85,392,010
     468      146,719     86,417,491
     359      147,991     84,771,878
      56      150,249     87,109,025
     356      150,788     85,372,570
     200      150,976     87,250,850
     393      151,311     83,995,712
     105      151,330     75,292,328
     355      152,199     87,742,856
     396      152,979     86,608,112
     410      156,033     88,549,117
      96      158,599     92,143,980
     364      160,075     92,200,124
     400      160,385     86,155,927
     504      160,478     93,830,255
     503      161,575     94,480,410
     507      162,788     95,180,163
     521      165,154     96,211,734
     362      165,991     94,793,492
     368      167,695     92,974,822
     522      168,181     97,475,531
      84      169,348     98,303,744
     390      170,908     96,410,272
     370      170,969     94,921,705
     115      172,704    101,771,487
     530      172,749    100,651,053
     365      174,284     98,681,488
     357      178,036     98,845,766
     114      178,686    106,424,667
     353      184,482    101,150,182
     518      184,667    108,324,432
     372      185,820    107,184,998
      98      187,597    108,680,589
     169      190,424    111,969,312
     457      191,622    112,290,492
     510      194,869    113,740,822
     506      196,095    114,446,590
     480      196,602    114,029,160
     231      201,095    116,874,922
     477      202,323    118,156,632
     193      202,427    119,431,930
     508      203,511    118,962,872
